항목명,코드,코드의미 및 단위
본인세대계층이동코드,4,매우 낮다
본인세대계층이동코드,5,모르겠다
자식세대계층이동코드,1,매우 높다
자식세대계층이동코드,2,비교적 높다
자식세대계층이동코드,3,비교적 낮다
자식세대계층이동코드,4,매우 낮다
자식세대계층이동코드,5,모르겠다
신문_일반신문구독여부,1,있다
신문_일반신문구독여부,2,없다
신문_일반신문구독주기코드,1,거의 매일
신문_일반신문구독주기코드,2,1주일에 3~4회
신문_일반신문구독주기코드,3,1주일에 1~2회
신문_일반신문구독주기코드,4,2주일에 1회
신문_인터넷신문구독여부,,신문[일반신문] 코드 참조
신문_인터넷신문구독주기코드,,신문[일반신문] 코드 참조
독서여부,1,있다
독서여부,2,없다
독서_잡지류권수,,
독서_교양서적권수,,
독서_직업직무관련서적권수,,
독서_생활취미정보서적권수,,
독서_기타권수,,
문화예술스포츠관람여부,1,있다
문화예술스포츠관람여부,2,없다
문화예술스포츠관람_음악연주회횟수,,
문화예술스포츠관람_연극마당극뮤지컬횟수,,
문화예술스포츠관람_무용횟수,,
문화예술스포츠관람_영화횟수,,
문화예술스포츠관람_박물관횟수,,
문화예술스포츠관람_미술관횟수,,
문화예술스포츠관람_스포츠횟수,,
문화예술스포츠관람_기타횟수,,
레저시설이용횟수,1,있다
레저시설이용횟수,2,없다
레저시설_관광명소유적지국립공원이용횟수,,
레저시설_온천장스파이용횟수,,
레저시설_골프장이용횟수,,
레저시설_스키장이용횟수,,
레저시설_해수욕장이용횟수,,
레저시설_산림욕장휴양림이용횟수,,
레저시설_놀이공원이용횟수,,
레저시설_수영장워터파크포함이용횟수,,
레저시설_기타이용횟수,,
국내관광여행경험여부,1,있다
국내관광여행경험여부,2,없다
국내관광여행_숙박여행횟수,,
국내관광여행_숙박여행1회평균숙박일수,,
국내관광여행_당일여행횟수,,
해외여행경험여부,1,있다
해외여행경험여부,2,없다
해외여행경험_관광횟수,,
해외여행경험_가족친지관련횟수,,
해외여행경험_업무횟수,,
해외여행경험_교육횟수,,
주중여가활용_1순위코드,1,"TV시청(유선방송, IPTV, DVD(비디오) 시청 등)"
주중여가활용_1순위코드,2,"문화 예술 관람(연극, 영화, 음악연주회, 미술전시회 등)"
주중여가활용_1순위코드,3,"문화 예술 참여(독서 토론, 미술 활동, 악기 연주, 사진 촬영 등)"
주중여가활용_1순위코드,4,스포츠 관람
주중여가활용_1순위코드,5,"스포츠 활동(축구, 테니스, 골프, 당구, 체조, 승마 등)"
주중여가활용_1순위코드,6,"관광(국내·해외 여행, 캠핑 등)"
주중여가활용_1순위코드,7,"컴퓨터 게임, 인터넷 검색 등"
주중여가활용_1순위코드,8,"취미·자기개발 활동(요리, 독서,기술·자격증 취득 공부 등)"
주중여가활용_1순위코드,9,"휴식 활동(수면, 사우나 등)"
주중여가활용_1순위코드,10,"사회 및 기타 활동(봉사 활동, 종교 활동, 사교 활동 등)"
주중여가활용_1순위코드,11,기타(    )
주중여가활용_2순위코드,,주중의 여가 활용[1순위] 코드 참조
주중여가활용_3순위코드,,주중의 여가 활용[1순위] 코드 참조
주말휴일여가활용_1순위코드,1,"TV시청(유선방송, IPTV, DVD(비디오) 시청 등)"
주말휴일여가활용_1순위코드,2,"문화 예술 관람(연극, 영화, 음악연주회, 미술전시회 등)"
주말휴일여가활용_1순위코드,3,"문화 예술 참여(독서 토론, 미술 활동, 악기 연주, 사진 촬영 등)"
주말휴일여가활용_1순위코드,4,스포츠 관람
주말휴일여가활용_1순위코드,5,"스포츠 활동(축구, 테니스, 골프, 당구, 체조, 승마 등)"
주말휴일여가활용_1순위코드,6,"관광(국내·해외 여행, 캠핑 등)"
주말휴일여가활용_1순위코드,7,"컴퓨터 게임, 인터넷 검색 등"
주말휴일여가활용_1순위코드,8,"취미·자기개발 활동(요리, 독서,기술·자격증 취득 공부 등)"
주말휴일여가활용_1순위코드,9,"휴식 활동(수면, 사우나 등)"
주말휴일여가활용_1순위코드,10,"사회 및 기타 활동(봉사 활동, 종교 활동, 사교 활동 등)"
주말휴일여가활용_1순위코드,11,기타(    )
주말휴일여가활용_2순위코드,,주말(휴일포함)의 여가 활용[1순위] 코드 참조
주말휴일여가활용_3순위코드,,주말(휴일포함)의 여가 활용[1순위] 코드 참조
주중여가활동_동반자코드,1,가족과 함께
주중여가활동_동반자코드,2,친구(연인 포함)와 함께
주중여가활동_동반자코드,3,동호회(종교 단체 등 포함) 활동을 통해서
주중여가활동_동반자코드,4,혼자서
주중여가활동_동반자코드,5,직장 동료와 함께 
