원본컬럼(df1),매칭컬럼(df2),유사도,,,,,
분류코드-소득 만족도,분류코드소득만족도,90,,,,,사회적관계망변화가족외친인척
분류코드-연령*교육정도별1,분류코드연령교육정도별1,92.3077,,,,,사회적관계망변화가족
분류코드-연령*교육정도별2,분류코드연령교육정도별2,92.3077,,,,,사회적관계망변화그밖의알고지내는사람
분류코드-연령*교육정도별3,분류코드연령교육정도별3,92.3077,,,,,사회적관계망변화동료(직장이나학교)
분류코드-연령*교육정도별4,분류코드연령교육정도별4,92.3077,,,,,사회적관계망변화이웃
분류코드-연령*교육정도별5,분류코드연령교육정도별5,92.3077,,,,,사회적관계망변화절친한친구
분류코드-연령*교육정도별6,분류코드연령교육정도별6,92.3077,,,,,사회적관계망변화종교단체구성원
분류코드-자원봉사_정기성,분류코드자원봉사_정기성,96,,,,,사회적관계망변화취미활동단체회원
분류코드-자원봉사여부,분류코드자원봉사여부,95.2381,,,,,사회적관계망_교류가족친척외유무
분류코드-장애인 복지카드 소유여부,분류코드장애인복지카드소유여부,90.9091,,,,,사회적관계망교류가족또는친척외_명수
분류코드-종사자지위별,분류코드종사자지위별,95.2381,,,,,사회적관계망_교류가족친척유무
분류코드-주관적 소득수준,분류코드주관적소득수준,91.6667,,,,,사회적관계망교류가족또는친척_명수
분류코드-주관적만족감,분류코드주관적만족감,95.2381,,,,,사회적관계망몸이아파집안일을부탁해야할경우
분류코드-직업별,분류코드직업별,93.3333,,,,,사회적관계망갑자기많은돈을빌려야할경우
분류코드-청소년 교육정도1,분류코드청소년교육정도1,92.3077,,,,,사회적관계망갑자기많은돈을빌려야할경우_명수
분류코드-청소년 교육정도2,분류코드청소년교육정도2,92.3077,,,,,사회적관계망갑자기큰돈을빌려야할경우
분류코드-현금기부_정기성,분류코드현금기부_정기성,96,,,,,사회적관계망낙심하거나우울해서이야기상대가필요한경우
분류코드-현금기부여부,분류코드현금기부여부,95.2381,,,,,사회적관계망몸이아파집안일을부탁해야할경우_명수
분류코드_가구소득1코드,분류코드_가구소득1,90.9091,,,,,사회적관계망이야기상대가필요한경우
분류코드_가구소득2코드,분류코드_가구소득2,90.9091,,,,,사회적관계망이야기상대가필요한경우_명수
분류코드_가구소득3코드,분류코드_가구소득3,90.9091,,,,,사회적관계망_가사도움요청대상유무
분류코드_가구원수,분류코드_가구원수,100,,,,,사회적관계망_대화상대도움요청대상유무
분류코드_가구원수2,분류코드_가구원수2,100,,,,,사회적관계망_자금차입도움요청대상유무
분류코드_가구원수2코드,분류코드_가구원수2,90.9091,,,,,산업
분류코드_경제활동여부,분류코드_경제활동여부,100,,,,,생활비마련방법
분류코드_계층의식코드,분류코드_계층의식,90,,,,,생활비마련방법_본인및배우자부담
분류코드_고용안전성코드,분류코드_고용안전성여부,90.9091,,,,,생활비마련방법_지원자녀친척동거여부
분류코드_고용안정성여부,분류코드_고용안정성여부,100,,,,,생활여건변화_문화여가생활여건
분류코드_교육정도,분류코드_교육정도,100,,,,,생활여건변화_보건의료서비스
분류코드_교육정도코드,분류코드_교육정도,90,,,,,생활여건변화_사회보장제도
분류코드_기부여부,분류코드_기부여부,100,,,,,생활여건변화_전반적생활여건
분류코드_다문화가족여부,분류코드_다문화가족여부,100,,,,,생활여건의변화문화여가생활향유여건_코로나
분류코드_동.읍면부,분류코드_동부읍면부구분,94.7368,,,,,생활여건의변화보건의료서비스_코로나
분류코드_동부읍면부구분코드,분류코드_동부읍면부구분,92.3077,,,,,생활여건의변화사회보장제도_코로나
분류코드_만 13세 이상,분류코드_만13세이상,91.6667,,,,,생활여건의변화전반적인생활여건
분류코드_만 15세 이상,분류코드_만15세이상,91.6667,,,,,생활여건의변화전반적인생활여건_코로나
분류코드_만13세이상여부,분류코드_만13세이상,100,,,,,선호장례방법
분류코드_만15세이상여부,분류코드_만15세이상,100,,,,,성별
분류코드_맞벌이1여부,분류코드_맞벌이1여부,100,,,,,성취만족도
분류코드_맞벌이2여부,분류코드_맞벌이2여부,100,,,,,소득만족도
분류코드_물품기부여부,분류코드_물품기부여부,100,,,,,소득변화
분류코드_물품기부정기성여부,분류코드_물품기부정기성여부,100,,,,,소득의변화_코로나
분류코드_산업별코드,분류코드_산업별,88.8889,,,,,소비생활변화
