항목명,코드,코드의미 및 단위
기부한 이유,6,학교나 직장 등에서의 기부활동에 동참하려고
기부한 이유,7,기부금에 대한 세제 해택을 받으려고
기부한 이유,8,기타(     )
기부하지 않은 이유,1,기부에 관심이 없으므로
기부하지 않은 이유,2,경제적 여유가 없으므로
기부하지 않은 이유,3,기부 방법을 모르므로
기부하지 않은 이유,4,기부 단체 등을 신뢰할 수 없으므로
기부하지 않은 이유,5,직접적인 요청을 받은 적이 없으므로
기부하지 않은 이유,6,기타(     )
기부 문화 확산[1순위],1,사회 지도층과 부유층의 모범적 기부 확대
기부 문화 확산[1순위],2,"나눔 교육, 대중 캠페인 등을 통한 나눔에 대한 인식 개선"
기부 문화 확산[1순위],3,기부 단체의 자금 운영 투명성 강화
기부 문화 확산[1순위],4,소득공제 확대 등 정부 지원 강화
기부 문화 확산[1순위],5,기부 방법의 편리성 증대
기부 문화 확산[1순위],6,"경조금 기부, 유산 기부 등 다양한 기부 방법 홍보"
기부 문화 확산[1순위],7,기타(    )
기부 문화 확산[2순위],1,사회 지도층과 부유층의 모범적 기부 확대
기부 문화 확산[2순위],2,"나눔 교육, 대중 캠페인 등을 통한 나눔에 대한 인식 개선"
기부 문화 확산[2순위],3,기부 단체의 자금 운영 투명성 강화
기부 문화 확산[2순위],4,소득공제 확대 등 정부 지원 강화
기부 문화 확산[2순위],5,기부 방법의 편리성 증대
기부 문화 확산[2순위],6,"경조금 기부, 유산 기부 등 다양한 기부 방법 홍보"
기부 문화 확산[2순위],7,기타(    )
기부 문화 확산[3순위],1,사회 지도층과 부유층의 모범적 기부 확대
기부 문화 확산[3순위],2,"나눔 교육, 대중 캠페인 등을 통한 나눔에 대한 인식 개선"
기부 문화 확산[3순위],3,기부 단체의 자금 운영 투명성 강화
기부 문화 확산[3순위],4,소득공제 확대 등 정부 지원 강화
기부 문화 확산[3순위],5,기부 방법의 편리성 증대
기부 문화 확산[3순위],6,"경조금 기부, 유산 기부 등 다양한 기부 방법 홍보"
기부 문화 확산[3순위],7,기타(    )
향후 기부 의사,1,있다
향후 기부 의사,2,없다
기부 희망 분야[1순위],1,사회 복지·자선
기부 희망 분야[1순위],2,재난 또는 재해 피해 복구·지원
기부 희망 분야[1순위],3,교육·의료
기부 희망 분야[1순위],4,문화·예술·스포츠
기부 희망 분야[1순위],5,"지역 사회 발전(지역 도서관 건립, 마을 공동체 사업 등)"
기부 희망 분야[1순위],6,환경 보호
기부 희망 분야[1순위],7,"외국의 기아, 의료, 자연재해 지원 등 해외 구호"
기부 희망 분야[1순위],8,기타(     )
기부 희망 분야[2순위],1,사회 복지·자선
기부 희망 분야[2순위],2,재난 또는 재해 피해 복구·지원
기부 희망 분야[2순위],3,교육·의료
기부 희망 분야[2순위],4,문화·예술·스포츠
기부 희망 분야[2순위],5,"지역 사회 발전(지역 도서관 건립, 마을 공동체 사업 등)"
기부 희망 분야[2순위],6,환경 보호
기부 희망 분야[2순위],7,"외국의 기아, 의료, 자연재해 지원 등 해외 구호"
기부 희망 분야[2순위],8,기타(     )
기부 희망 분야[3순위],1,사회 복지·자선
기부 희망 분야[3순위],2,재난 또는 재해 피해 복구·지원
기부 희망 분야[3순위],3,교육·의료
기부 희망 분야[3순위],4,문화·예술·스포츠
기부 희망 분야[3순위],5,"지역 사회 발전(지역 도서관 건립, 마을 공동체 사업 등)"
기부 희망 분야[3순위],6,환경 보호
기부 희망 분야[3순위],7,"외국의 기아, 의료, 자연재해 지원 등 해외 구호"
기부 희망 분야[3순위],8,기타(     )
자원봉사활동 여부,1,있다
자원봉사활동 여부,2,없다
자원봉사활동 참여 이유,1,남을 돕는 것이 행복하므로
자원봉사활동 참여 이유,2,어려운 사람을 돕거나 사회 문제를 해결하려고
자원봉사활동 참여 이유,3,시민의 책임이므로
자원봉사활동 참여 이유,4,남의 도움을 받은 적이 있고 이를 갚고 싶으므로
자원봉사활동 참여 이유,5,종교적 신념을 실천하려고
자원봉사활동 참여 이유,6,여가시간을 의미있게 활용하려고
자원봉사활동 참여 이유,7,학교나 직장 등에서의 단체활동에 동참하려고
자원봉사활동 참여 이유,8,"진학, 취업 등 자기개발에 도움이 되므로"
자원봉사활동 참여 이유,9,기타(     )
자원봉사활동 참여하지 않은 이유,1,자원봉사에 관심이 없으므로
자원봉사활동 참여하지 않은 이유,2,시간적 여유가 없으므로
자원봉사활동 참여하지 않은 이유,3,자원봉사 활동 경비가 부담되므로
자원봉사활동 참여하지 않은 이유,4,자원봉사 참여 방법을 모르므로
