원본컬럼(df1),매칭컬럼(df2),유사도
분류코드_점유형태1코드,분류코드_점유형태1,90.9091
분류코드_점유형태2코드,분류코드_점유형태2,90.9091
분류코드_종사자지위코드,분류코드_종사자지위,90.9091
분류코드_주관적만족감코드,분류코드_주관적만족감,91.6667
분류코드_주관적소득수준코드,분류코드_주관적소득수준,92.3077
분류코드_주택형태1코드,분류코드_주택형태1,90.9091
분류코드_주택형태2코드,분류코드_주택형태2,90.9091
분류코드_직업별코드,분류코드_직업별,88.8889
분류코드_청소년교육정도1코드,분류코드_청소년교육정도1,92.8571
분류코드_청소년교육정도2코드,분류코드_청소년교육정도2,92.8571
분류코드_현금기부여부,분류코드_현금기부여부,100.0000
분류코드_현금기부정기성여부,분류코드_현금기부정기성여부,100.0000
분류코드_혼인상태2코드,분류코드_혼인상태2,90.9091
분류코드_혼인상태코드,분류코드_혼인상태,90.0000
사회보험료부담인식_건강보험납부여부,사회보험료부담인식_건강보험납부여부,100.0000
사회보험료부담인식_건강보험부담정도코드,사회보험료부담인식_건강보험부담정도,94.7368
사회보험료부담인식_고용보험납부여부,사회보험료부담인식_고용보험납부여부,100.0000
사회보험료부담인식_고용보험부담정도코드,사회보험료부담인식_고용보험부담정도,94.7368
사회보험료부담인식_국민연금납부여부,사회보험료부담인식_국민연금납부여부,100.0000
사회보험료부담인식_국민연금부담정도코드,사회보험료부담인식_국민연금부담정도,94.7368
사회장애인차별정도코드,사회장애인차별정도,90.0000
사회적관계망_가사도움요청대상유무,사회적관계망_가사도움요청대상유무,100.0000
사회적관계망_가사도움요청대상인원수,사회적관계망_가사도움요청대상인원수,100.0000
사회적관계망_교류가족친척외유무,사회적관계망_교류가족친척외유무,100.0000
사회적관계망_교류가족친척외인원수,사회적관계망_교류가족친척외인원수,100.0000
사회적관계망_교류가족친척유무,사회적관계망_교류가족친척유무,100.0000
사회적관계망_교류가족친척인원수,사회적관계망_교류가족친척인원수,100.0000
사회적관계망_대화상대도움요청대상유무,사회적관계망_대화상대도움요청대상유무,100.0000
사회적관계망_대화상대도움요청대상인원수,사회적관계망_대화상대도움요청대상인원수,100.0000
사회적관계망_자금차입도움요청대상유무,사회적관계망_자금차입도움요청대상유무,100.0000
사회적관계망_자금차입도움요청대상인원수,사회적관계망_자금차입도움요청대상인원수,100.0000
사회적관계망변화_가족_변화정도코드,사회적관계망변화_가족_변화정도,94.1176
사회적관계망변화_가족외친인척_변화정도코드,사회적관계망변화_가족외친인척_변화정도,95.2381
사회적관계망변화_기타지인_변화정도코드,사회적관계망변화_기타지인_변화정도,94.7368
사회적관계망변화_동료_변화정도코드,사회적관계망변화_동료_변화정도,94.1176
사회적관계망변화_이웃_변화정도코드,사회적관계망변화_이웃_변화정도,94.1176
사회적관계망변화_종교단체구성원_변화정도코드,사회적관계망변화_종교단체구성원_변화정도,95.4545
사회적관계망변화_취미활동단체회원_변화정도코드,사회적관계망변화_취미활동단체회원_변화정도,95.6522
사회적관계망변화_친구_변화정도코드,사회적관계망변화_친구_변화정도,94.1176
생활비마련방법_본인및배우자부담코드,생활비마련방법_본인및배우자부담,94.1176
생활비마련방법_지원자녀및친척동거여부,생활비마련방법_지원자녀및친척동거여부,100.0000
생활비마련방법코드,생활비마련방법,87.5000
생활여건변화_문화여가생활여건_코로나관련여부,생활여건변화_문화여가생활여건_코로나관련여부,100.0000
생활여건변화_문화여가생활여건코드,생활여건변화_문화여가생활여건,93.7500
생활여건변화_보건의료서비스_코로나관련여부,생활여건변화_보건의료서비스_코로나관련여부,100.0000
생활여건변화_보건의료서비스코드,생활여건변화_보건의료서비스,93.3333
생활여건변화_사회보장제도_코로나관련여부,생활여건변화_사회보장제도_코로나관련여부,100.0000
생활여건변화_사회보장제도코드,생활여건변화_사회보장제도,92.8571
생활여건변화_전반적생활여건_코로나관련여부,생활여건변화_전반적생활여건_코로나관련여부,100.0000
생활여건변화_전반적생활여건코드,생활여건변화_전반적생활여건,93.3333
선호장례방법코드,선호장례방법,85.7143
성별코드,성별,66.6667
성취만족도코드,성취만족도,83.3333
소득만족도코드,소득만족도,83.3333
소득변화_감소사유_코로나관련여부,소득변화_감소사유_코로나관련여부,100.0000
소득변화코드,소득변화,80.0000
소비생활만족도코드,소비생활만족도,87.5000
소비생활변화코드,소비생활변화,85.7143
신뢰코드,신뢰,66.6667
신문_인터넷신문구독분야코드,신문_인터넷신문구독분야,92.3077
신문_인터넷신문구독여부,신문_인터넷신문구독여부,100.0000
신문_인터넷신문구독주기코드,신문_인터넷신문구독주기,92.3077
신문_일반신문구독분야코드,신문_일반신문구독분야,91.6667
신문_일반신문구독여부,신문_일반신문구독여부,100.0000
신문_일반신문구독주기코드,신문_일반신문구독주기,91.6667
여가활동_동반자코드,여가활동_동반자,88.8889
여가활용_불만족사유코드,여가활용_불만족사유,90.9091
여가활용만족도코드,여가활용만족도,87.5000
여가활용불만족사유코드,여가활용불만족사유,90.0000
여성취업견해코드,여성취업견해,85.7143
여성취업시기코드,여성취업시기,85.7143
여성취업장애요인_1순위코드,여성취업장애요인_1순위,92.3077
여성취업장애요인_2순위코드,여성취업장애요인_2순위,92.3077
여성취업장애요인_3순위코드,여성취업장애요인_3순위,92.3077
우선실시장애인복지사업_1순위코드,우선실시장애인복지사업_1순위,93.7500
우선실시장애인복지사업_2순위코드,우선실시장애인복지사업_2순위,93.7500
우선실시장애인복지사업_3순위코드,우선실시장애인복지사업_3순위,93.7500
원격수업_비효과사유_1순위코드,원격수업_비효과사유_1순위,93.3333
원격수업_비효과사유_2순위코드,원격수업_비효과사유_2순위,93.3333
원격수업_비효과사유_3순위코드,원격수업_비효과사유_3순위,93.3333
원격수업_효과성여부,원격수업_효과성여부,100.0000
원격수업여부,원격수업여부,100.0000
유산기부의사여부,유산기부의사여부,100.0000
일가정생활우선도코드,일가정생활우선도,88.8889
일가정양립제도인지도_가족돌봄휴직제인지여부,일가정양립제도인지도_가족돌봄휴직제인지여부,100.0000
일가정양립제도인지도_배우자출산휴가제인지여부,일가정양립제도인지도_배우자출산휴가제인지여부,100.0000
일가정양립제도인지도_유연근무제인지여부,일가정양립제도인지도_유연근무제인지여부,100.0000
일가정양립제도인지도_육아기근로시간단축제인지여부,일가정양립제도인지도_육아기근로시간단축제인지여부,100.0000
일가정양립제도인지도_육아휴직제인지여부,일가정양립제도인지도_육아휴직제인지여부,100.0000
일가정양립제도인지도_직장보육지원인지여부,일가정양립제도인지도_직장보육지원인지여부,100.0000
